strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Thailand/CU-406/2013|EPI_ISL_17455614	Sanger	hChikV	II-ECSA	EPI_ISL_17455614	2013-07-01	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-00023/2009|EPI_ISL_17455637	unknown	hChikV	II-ECSA	EPI_ISL_17455637	2009-05-25	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-BK68/2013|EPI_ISL_17455645	Sanger	hChikV	II-ECSA	EPI_ISL_17455645	2013-10-14	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-BK57/2013|EPI_ISL_17455647	Sanger	hChikV	II-ECSA	EPI_ISL_17455647	2013-10-14	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-BK46/2013|EPI_ISL_17455650	Sanger	hChikV	II-ECSA	EPI_ISL_17455650	2013-10-14	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-BK63/2013|EPI_ISL_17455655	Sanger	hChikV	II-ECSA	EPI_ISL_17455655	2013-10-14	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-398/2013|EPI_ISL_17455668	Sanger	hChikV	II-ECSA	EPI_ISL_17455668	2013-07-01	Asia	Thailand	unknown	unknown
hChikV/Mauritius/CSIRO-06113879/2006|EPI_ISL_17455725	Illumina	hChikV	II-ECSA	EPI_ISL_17455725	2006-07-01	Africa	Mauritius	unknown	unknown
hChikV/Russia/un-DIIV-00001/2013|EPI_ISL_17455726	Illumina	hChikV	III-Asian	EPI_ISL_17455726	2013-09-24	Europe	Russia	unknown	unknown
hChikV/India/KL-DRDE-07/2007|EPI_ISL_17455746	unknown	hChikV	II-ECSA	EPI_ISL_17455746	2007-06-11	Asia	India	Kerala	unknown
hChikV/India/un-DRDE-00026/2006|EPI_ISL_17455756	unknown	hChikV	II-ECSA	EPI_ISL_17455756	2006-07-01	Asia	India	unknown	unknown
hChikV/India/un-CSTM-0000001/2011|EPI_ISL_17455778	Sanger	hChikV	II-ECSA	EPI_ISL_17455778	2011-09-12	Asia	India	unknown	unknown
hChikV/India/un-CSTM-0000007/2011|EPI_ISL_17455782	Sanger	hChikV	II-ECSA	EPI_ISL_17455782	2011-12-21	Asia	India	unknown	unknown
hChikV/India/un-JH-APCK406_957dea88/un|EPI_ISL_17455789	Sanger	hChikV	II-ECSA	EPI_ISL_17455789	unknown	Asia	India	unknown	unknown
hChikV/India/un-JH-280/2016|EPI_ISL_17455791	Sanger	hChikV	II-ECSA	EPI_ISL_17455791	2016-09-28	Asia	India	unknown	unknown
hChikV/India/un-JH-00002/2016|EPI_ISL_17455792	Sanger	hChikV	II-ECSA	EPI_ISL_17455792	2016-10-03	Asia	India	unknown	unknown
hChikV/India/un-JH-00001/2016|EPI_ISL_17455793	Sanger	hChikV	II-ECSA	EPI_ISL_17455793	2016-09-30	Asia	India	unknown	unknown
hChikV/Italy/un-ISS-972_ad66c6ea/2017|EPI_ISL_17455796	Illumina	hChikV	II-ECSA	EPI_ISL_17455796	2017-09-27	Europe	Italy	unknown	unknown
hChikV/Italy/un-ISS-989_56056124/2017|EPI_ISL_17455798	Illumina	hChikV	II-ECSA	EPI_ISL_17455798	2017-09-30	Europe	Italy	unknown	unknown
hChikV/Italy/un-ISS-1011_96c2fba2/2017|EPI_ISL_17455799	Illumina	hChikV	II-ECSA	EPI_ISL_17455799	2017-08-02	Europe	Italy	unknown	unknown
hChikV/Italy/un-ISS-1_15dc771b/2007|EPI_ISL_17455803	Illumina	hChikV	II-ECSA	EPI_ISL_17455803	2007-08-20	Europe	Italy	unknown	unknown
hChikV/Italy/un-ISS-1028_a8527058/2017|EPI_ISL_17455804	Illumina	hChikV	II-ECSA	EPI_ISL_17455804	2017-08-09	Europe	Italy	unknown	unknown
hChikV/Italy/un-ISS-977_1be190cb/2017|EPI_ISL_17455808	Illumina	hChikV	II-ECSA	EPI_ISL_17455808	2017-08-02	Europe	Italy	unknown	unknown
hChikV/Italy/un-ISS-2_db6be187/2007|EPI_ISL_17455809	Illumina	hChikV	II-ECSA	EPI_ISL_17455809	2007-08-25	Europe	Italy	unknown	unknown
hChikV/Italy/un-ISS-991_5f297f49/2017|EPI_ISL_17455812	Illumina	hChikV	II-ECSA	EPI_ISL_17455812	2017-08-02	Europe	Italy	unknown	unknown
hChikV/China/ZJ-CDCL-QZ0901/2017|EPI_ISL_17455845	Sanger	hChikV	II-ECSA	EPI_ISL_17455845	2017-09-01	Asia	China	Zhejiang	unknown
hChikV/China/ZJ-CDCL-QZ0823/2017|EPI_ISL_17455846	unknown	hChikV	II-ECSA	EPI_ISL_17455846	2017-08-23	Asia	China	Zhejiang	unknown
hChikV/Malaysia/UM-3092151_9fe7e8e8/2020|EPI_ISL_17455847	Illumina	hChikV	II-ECSA	EPI_ISL_17455847	2020-09-01	Asia	Malaysia	unknown	unknown
hChikV/Malaysia/UM-09_664a472c/2009|EPI_ISL_17455848	Sanger	hChikV	II-ECSA	EPI_ISL_17455848	2009-01-15	Asia	Malaysia	unknown	unknown
hChikV/Malaysia/UM-09_ccd2f7a9/2009|EPI_ISL_17455849	Sanger	hChikV	II-ECSA	EPI_ISL_17455849	2009-03-15	Asia	Malaysia	unknown	unknown
hChikV/Malaysia/UM-09_bcade004/2009|EPI_ISL_17455850	Sanger	hChikV	II-ECSA	EPI_ISL_17455850	2009-02-15	Asia	Malaysia	unknown	unknown
hChikV/Malaysia/UM-3092435_ce4f3273/2020|EPI_ISL_17455851	Illumina	hChikV	II-ECSA	EPI_ISL_17455851	2020-09-03	Asia	Malaysia	unknown	unknown
hChikV/Malaysia/UM-09_61f9470c/2009|EPI_ISL_17455852	Sanger	hChikV	II-ECSA	EPI_ISL_17455852	2009-01-15	Asia	Malaysia	unknown	unknown
hChikV/Malaysia/UM-08_ed91ce9b/2008|EPI_ISL_17455853	Sanger	hChikV	II-ECSA	EPI_ISL_17455853	2008-12-15	Asia	Malaysia	Johor	unknown
hChikV/China/BJ-CMU-YNRL3/2019|EPI_ISL_17455869	unknown	hChikV	II-ECSA	EPI_ISL_17455869	2019-10-04	Asia	China	Beijing	unknown
hChikV/China/BJ-CMU-YNRL2/2019|EPI_ISL_17455870	unknown	hChikV	II-ECSA	EPI_ISL_17455870	2019-10-08	Asia	China	Beijing	unknown
hChikV/China/BJ-CMU-YNRL1/2019|EPI_ISL_17455871	unknown	hChikV	II-ECSA	EPI_ISL_17455871	2019-10-10	Asia	China	Beijing	unknown
hChikV/India/un-NIMHN-40C_b069be30/2019|EPI_ISL_17455903	Oxford Nanopore Technology (ONT)	hChikV	II-ECSA	EPI_ISL_17455903	2019-08-28	Asia	India	unknown	unknown
hChikV/Senegal/UTMB-176adc17/1981|EPI_ISL_17455979	unknown	hChikV	I-WestAfrica	EPI_ISL_17455979	1981-07-01	Africa	Senegal	unknown	unknown
hChikV/Thailand/UTMB-ec47a597/1958|EPI_ISL_17455981	unknown	hChikV	III-Asian	EPI_ISL_17455981	1958-07-01	Asia	Thailand	unknown	unknown
hChikV/South Africa/UTMB-3eb83ec9/1956|EPI_ISL_17455983	unknown	hChikV	II-ECSA	EPI_ISL_17455983	1956-04-15	Africa	South Africa	unknown	unknown
hChikV/Thailand/UTMB-2165a87c/1978|EPI_ISL_17455985	unknown	hChikV	III-Asian	EPI_ISL_17455985	1978-07-01	Asia	Thailand	unknown	unknown
hChikV/India/un-UTMB-d19293ba/1973|EPI_ISL_17455988	unknown	hChikV	III-Asian	EPI_ISL_17455988	1973-07-01	Asia	India	unknown	unknown
