strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Paraguay/un-10/2022|EPI_ISL_18044792	unknown	hChikV	II-ECSA	EPI_ISL_18044792	2022-05-05	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-11/2022|EPI_ISL_18044793	unknown	hChikV	II-ECSA	EPI_ISL_18044793	2022-05-14	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-11/2023|EPI_ISL_18044794	unknown	hChikV	II-ECSA	EPI_ISL_18044794	2023-01-19	South America	Paraguay	Central Department	Guarambare
hChikV/Paraguay/un-12/2022|EPI_ISL_18044795	unknown	hChikV	II-ECSA	EPI_ISL_18044795	2022-05-15	South America	Paraguay	Presidente Hayes Department	unknown
hChikV/Paraguay/un-12/2023|EPI_ISL_18044796	unknown	hChikV	II-ECSA	EPI_ISL_18044796	2023-01-24	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-13/2022|EPI_ISL_18044797	unknown	hChikV	II-ECSA	EPI_ISL_18044797	2022-05-16	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-13/2023|EPI_ISL_18044798	unknown	hChikV	II-ECSA	EPI_ISL_18044798	2023-01-24	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-14/2022|EPI_ISL_18044799	unknown	hChikV	II-ECSA	EPI_ISL_18044799	2022-05-20	South America	Paraguay	Presidente Hayes Department	unknown
hChikV/Paraguay/un-15/2022|EPI_ISL_18044801	unknown	hChikV	II-ECSA	EPI_ISL_18044801	2022-05-23	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-16/2022|EPI_ISL_18044802	unknown	hChikV	II-ECSA	EPI_ISL_18044802	2022-05-10	South America	Paraguay	Cordillera Department	Caacupe
hChikV/Paraguay/un-17/2022|EPI_ISL_18044803	unknown	hChikV	II-ECSA	EPI_ISL_18044803	2022-06-02	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-18/2022|EPI_ISL_18044804	unknown	hChikV	II-ECSA	EPI_ISL_18044804	2022-05-29	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-18/2023|EPI_ISL_18044805	unknown	hChikV	II-ECSA	EPI_ISL_18044805	2023-01-25	South America	Paraguay	Central Department	Nemby
hChikV/Paraguay/un-19/2022|EPI_ISL_18044806	unknown	hChikV	II-ECSA	EPI_ISL_18044806	2022-06-12	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-20/2022|EPI_ISL_18044808	unknown	hChikV	II-ECSA	EPI_ISL_18044808	2022-06-10	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-21/2022|EPI_ISL_18044810	unknown	hChikV	II-ECSA	EPI_ISL_18044810	2022-04-27	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-21/2023|EPI_ISL_18044811	unknown	hChikV	II-ECSA	EPI_ISL_18044811	2023-01-29	South America	Paraguay	Central Department	Capiata
hChikV/Paraguay/un-22/2022|EPI_ISL_18044812	unknown	hChikV	II-ECSA	EPI_ISL_18044812	2022-05-06	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-22/2023|EPI_ISL_18044813	unknown	hChikV	II-ECSA	EPI_ISL_18044813	2023-01-30	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-23/2022|EPI_ISL_18044814	unknown	hChikV	II-ECSA	EPI_ISL_18044814	2022-05-20	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-23/2023|EPI_ISL_18044815	unknown	hChikV	II-ECSA	EPI_ISL_18044815	2023-01-25	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-25/2022|EPI_ISL_18044816	unknown	hChikV	II-ECSA	EPI_ISL_18044816	2022-04-23	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-25/2023|EPI_ISL_18044817	unknown	hChikV	II-ECSA	EPI_ISL_18044817	2023-01-31	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-26/2022|EPI_ISL_18044818	unknown	hChikV	II-ECSA	EPI_ISL_18044818	2022-04-26	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-26/2023|EPI_ISL_18044819	unknown	hChikV	II-ECSA	EPI_ISL_18044819	2023-01-31	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-27/2022|EPI_ISL_18044820	unknown	hChikV	II-ECSA	EPI_ISL_18044820	2022-04-27	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-28/2022|EPI_ISL_18044822	unknown	hChikV	II-ECSA	EPI_ISL_18044822	2022-05-01	South America	Paraguay	Central Department	Limpio
hChikV/Paraguay/un-29/2022|EPI_ISL_18044823	unknown	hChikV	II-ECSA	EPI_ISL_18044823	2022-05-08	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-29/2023|EPI_ISL_18044824	unknown	hChikV	II-ECSA	EPI_ISL_18044824	2023-02-04	South America	Paraguay	Central Department	Capiata
hChikV/Paraguay/un-30/2022|EPI_ISL_18044825	unknown	hChikV	II-ECSA	EPI_ISL_18044825	2022-05-07	South America	Paraguay	Central Department	Limpio
hChikV/Paraguay/un-30/2023|EPI_ISL_18044826	unknown	hChikV	II-ECSA	EPI_ISL_18044826	2023-02-03	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-31/2022|EPI_ISL_18044827	unknown	hChikV	II-ECSA	EPI_ISL_18044827	2022-05-16	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-31/2023|EPI_ISL_18044828	unknown	hChikV	II-ECSA	EPI_ISL_18044828	2023-02-04	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-32/2022|EPI_ISL_18044829	unknown	hChikV	II-ECSA	EPI_ISL_18044829	2022-05-25	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-32/2023|EPI_ISL_18044830	unknown	hChikV	II-ECSA	EPI_ISL_18044830	2023-02-05	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-33/2022|EPI_ISL_18044831	unknown	hChikV	II-ECSA	EPI_ISL_18044831	2022-06-01	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-34/2022|EPI_ISL_18044832	unknown	hChikV	II-ECSA	EPI_ISL_18044832	2022-06-02	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-34/2023|EPI_ISL_18044833	unknown	hChikV	II-ECSA	EPI_ISL_18044833	2023-02-08	South America	Paraguay	Central Department	Lambare
hChikV/Paraguay/un-35/2022|EPI_ISL_18044834	unknown	hChikV	II-ECSA	EPI_ISL_18044834	2022-04-10	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-35/2023|EPI_ISL_18044835	unknown	hChikV	II-ECSA	EPI_ISL_18044835	2023-01-28	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-36/2022|EPI_ISL_18044836	unknown	hChikV	II-ECSA	EPI_ISL_18044836	2022-04-29	South America	Paraguay	Presidente Hayes Department	unknown
hChikV/Paraguay/un-36/2023|EPI_ISL_18044837	unknown	hChikV	II-ECSA	EPI_ISL_18044837	2023-02-06	South America	Paraguay	Itapua	unknown
hChikV/Paraguay/un-37/2022|EPI_ISL_18044838	unknown	hChikV	II-ECSA	EPI_ISL_18044838	2022-05-12	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-37/2023|EPI_ISL_18044839	unknown	hChikV	II-ECSA	EPI_ISL_18044839	2023-02-08	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-38/2022|EPI_ISL_18044840	unknown	hChikV	II-ECSA	EPI_ISL_18044840	2022-05-16	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-38/2023|EPI_ISL_18044841	unknown	hChikV	II-ECSA	EPI_ISL_18044841	2023-02-10	South America	Paraguay	Central Department	Nemby
hChikV/Paraguay/un-39/2022|EPI_ISL_18044842	unknown	hChikV	II-ECSA	EPI_ISL_18044842	2022-05-23	South America	Paraguay	Central Department	Limpio
hChikV/Paraguay/un-40/2022|EPI_ISL_18044844	unknown	hChikV	II-ECSA	EPI_ISL_18044844	2022-06-20	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-41/2022|EPI_ISL_18044845	unknown	hChikV	II-ECSA	EPI_ISL_18044845	2022-06-27	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-42/2023|EPI_ISL_18044846	unknown	hChikV	II-ECSA	EPI_ISL_18044846	2023-02-11	South America	Paraguay	Central Department	Nemby
hChikV/Paraguay/un-43/2023|EPI_ISL_18044847	unknown	hChikV	II-ECSA	EPI_ISL_18044847	2023-02-11	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-44/2023|EPI_ISL_18044848	unknown	hChikV	II-ECSA	EPI_ISL_18044848	2023-02-15	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-46/2023|EPI_ISL_18044849	unknown	hChikV	II-ECSA	EPI_ISL_18044849	2023-02-16	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-47/2023|EPI_ISL_18044850	unknown	hChikV	II-ECSA	EPI_ISL_18044850	2023-02-16	South America	Paraguay	Central Department	Capiata
hChikV/Paraguay/un-48/2023|EPI_ISL_18044851	unknown	hChikV	II-ECSA	EPI_ISL_18044851	2023-02-15	South America	Paraguay	Central Department	Nemby
hChikV/Paraguay/un-50/2023|EPI_ISL_18044852	unknown	hChikV	II-ECSA	EPI_ISL_18044852	2023-01-18	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-51/2023|EPI_ISL_18044853	unknown	hChikV	II-ECSA	EPI_ISL_18044853	2023-01-19	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-52/2023|EPI_ISL_18044854	unknown	hChikV	II-ECSA	EPI_ISL_18044854	2023-01-31	South America	Paraguay	Central Department	Nemby
hChikV/Paraguay/un-54/2023|EPI_ISL_18044856	unknown	hChikV	II-ECSA	EPI_ISL_18044856	2023-01-28	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-57/2023|EPI_ISL_18044859	unknown	hChikV	II-ECSA	EPI_ISL_18044859	2023-02-10	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-59/2023|EPI_ISL_18044861	unknown	hChikV	II-ECSA	EPI_ISL_18044861	2023-02-14	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-62/2023|EPI_ISL_18044864	unknown	hChikV	II-ECSA	EPI_ISL_18044864	2023-02-24	South America	Paraguay	Central Department	Itaugua
hChikV/Paraguay/un-L2-02/2023|EPI_ISL_18044866	unknown	hChikV	II-ECSA	EPI_ISL_18044866	2023-01-19	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-03/2023|EPI_ISL_18044867	unknown	hChikV	II-ECSA	EPI_ISL_18044867	2023-01-13	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-04/2023|EPI_ISL_18044868	unknown	hChikV	II-ECSA	EPI_ISL_18044868	2023-01-21	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-05/2023|EPI_ISL_18044869	unknown	hChikV	II-ECSA	EPI_ISL_18044869	2023-01-23	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-L2-06/2023|EPI_ISL_18044870	unknown	hChikV	II-ECSA	EPI_ISL_18044870	2023-01-23	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-07/2023|EPI_ISL_18044871	unknown	hChikV	II-ECSA	EPI_ISL_18044871	2023-01-23	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-08/2023|EPI_ISL_18044872	unknown	hChikV	II-ECSA	EPI_ISL_18044872	2023-01-24	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-L2-09/2023|EPI_ISL_18044873	unknown	hChikV	II-ECSA	EPI_ISL_18044873	2023-01-28	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-10/2023|EPI_ISL_18044874	unknown	hChikV	II-ECSA	EPI_ISL_18044874	2023-01-28	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-11/2023|EPI_ISL_18044875	unknown	hChikV	II-ECSA	EPI_ISL_18044875	2023-02-05	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-12/2023|EPI_ISL_18044876	unknown	hChikV	II-ECSA	EPI_ISL_18044876	2023-02-05	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-13/2023|EPI_ISL_18044877	unknown	hChikV	II-ECSA	EPI_ISL_18044877	2023-02-05	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-14/2023|EPI_ISL_18044878	unknown	hChikV	II-ECSA	EPI_ISL_18044878	2023-02-05	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-L2-15/2023|EPI_ISL_18044879	unknown	hChikV	II-ECSA	EPI_ISL_18044879	2023-02-13	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-L2-16/2023|EPI_ISL_18044880	unknown	hChikV	II-ECSA	EPI_ISL_18044880	2023-02-15	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-L2-19/2023|EPI_ISL_18044882	unknown	hChikV	II-ECSA	EPI_ISL_18044882	2023-02-25	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-21/2023|EPI_ISL_18044884	unknown	hChikV	II-ECSA	EPI_ISL_18044884	2023-02-26	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-L2-22/2023|EPI_ISL_18044885	unknown	hChikV	II-ECSA	EPI_ISL_18044885	2023-02-27	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-23/2023|EPI_ISL_18044886	unknown	hChikV	II-ECSA	EPI_ISL_18044886	2023-03-01	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-24/2023|EPI_ISL_18044887	unknown	hChikV	II-ECSA	EPI_ISL_18044887	2023-02-28	South America	Paraguay	Cordillera Department	unknown
hChikV/Paraguay/un-L2-25/2023|EPI_ISL_18044888	unknown	hChikV	II-ECSA	EPI_ISL_18044888	2023-02-28	South America	Paraguay	Cordillera Department	unknown
hChikV/Paraguay/un-L2-26/2023|EPI_ISL_18044889	unknown	hChikV	II-ECSA	EPI_ISL_18044889	2023-02-28	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-L2-27/2023|EPI_ISL_18044890	unknown	hChikV	II-ECSA	EPI_ISL_18044890	2023-03-02	South America	Paraguay	Central Department	Aregua
hChikV/Paraguay/un-L2-28/2023|EPI_ISL_18044891	unknown	hChikV	II-ECSA	EPI_ISL_18044891	2023-03-02	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-L2-29/2023|EPI_ISL_18044892	unknown	hChikV	II-ECSA	EPI_ISL_18044892	2023-03-02	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-30/2023|EPI_ISL_18044893	unknown	hChikV	II-ECSA	EPI_ISL_18044893	2023-03-01	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-31/2023|EPI_ISL_18044894	unknown	hChikV	II-ECSA	EPI_ISL_18044894	2023-03-01	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-32/2023|EPI_ISL_18044895	unknown	hChikV	II-ECSA	EPI_ISL_18044895	2023-02-28	South America	Paraguay	Cordillera Department	Atyra
hChikV/Paraguay/un-L2-35/2023|EPI_ISL_18044897	unknown	hChikV	II-ECSA	EPI_ISL_18044897	2023-03-04	South America	Paraguay	Central Department	Mariano Roque Alonso
hChikV/Paraguay/un-L2-36/2023|EPI_ISL_18044898	unknown	hChikV	II-ECSA	EPI_ISL_18044898	2023-03-06	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-37/2023|EPI_ISL_18044899	unknown	hChikV	II-ECSA	EPI_ISL_18044899	2023-03-09	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-38/2023|EPI_ISL_18044900	unknown	hChikV	II-ECSA	EPI_ISL_18044900	2023-03-09	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-40/2023|EPI_ISL_18044902	unknown	hChikV	II-ECSA	EPI_ISL_18044902	2023-03-07	South America	Paraguay	Cordillera Department	unknown
hChikV/Paraguay/un-L2-41/2023|EPI_ISL_18044903	unknown	hChikV	II-ECSA	EPI_ISL_18044903	2023-03-10	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-42/2023|EPI_ISL_18044904	unknown	hChikV	II-ECSA	EPI_ISL_18044904	2023-03-10	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-48/2023|EPI_ISL_18044910	unknown	hChikV	II-ECSA	EPI_ISL_18044910	2023-03-07	South America	Paraguay	Central Department	Ypacarai
hChikV/Paraguay/un-L2-49/2023|EPI_ISL_18044911	unknown	hChikV	II-ECSA	EPI_ISL_18044911	2023-03-05	South America	Paraguay	Itapua	unknown
hChikV/Paraguay/un-L2-50/2023|EPI_ISL_18044912	unknown	hChikV	II-ECSA	EPI_ISL_18044912	2023-02-24	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-51/2023|EPI_ISL_18044913	unknown	hChikV	II-ECSA	EPI_ISL_18044913	2023-02-28	South America	Paraguay	Central Department	Capiata
hChikV/Paraguay/un-L2-53/2023|EPI_ISL_18044915	unknown	hChikV	II-ECSA	EPI_ISL_18044915	2023-02-25	South America	Paraguay	Caaguazu	Caaguazu
hChikV/Paraguay/un-L2-54/2023|EPI_ISL_18044916	unknown	hChikV	II-ECSA	EPI_ISL_18044916	2023-02-28	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-56/2023|EPI_ISL_18044918	unknown	hChikV	II-ECSA	EPI_ISL_18044918	2023-02-24	South America	Paraguay	Cordillera Department	Piribebuy
hChikV/Paraguay/un-L2-57/2023|EPI_ISL_18044919	unknown	hChikV	II-ECSA	EPI_ISL_18044919	2023-02-23	South America	Paraguay	Paraguari Department	Carapegua
hChikV/Paraguay/un-L2-58/2023|EPI_ISL_18044920	unknown	hChikV	II-ECSA	EPI_ISL_18044920	2023-02-25	South America	Paraguay	Paraguari Department	Paraguari
hChikV/Paraguay/un-L2-59/2023|EPI_ISL_18044921	unknown	hChikV	II-ECSA	EPI_ISL_18044921	2023-02-28	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-61/2023|EPI_ISL_18044923	unknown	hChikV	II-ECSA	EPI_ISL_18044923	2023-02-25	South America	Paraguay	Central Department	Villa Elisa
hChikV/Paraguay/un-L2-63/2023|EPI_ISL_18044925	unknown	hChikV	II-ECSA	EPI_ISL_18044925	2023-02-25	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-64/2023|EPI_ISL_18044926	unknown	hChikV	II-ECSA	EPI_ISL_18044926	2023-02-26	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-67/2023|EPI_ISL_18044929	unknown	hChikV	II-ECSA	EPI_ISL_18044929	2023-03-01	South America	Paraguay	unknown	unknown
hChikV/Paraguay/un-L2-68/2023|EPI_ISL_18044930	unknown	hChikV	II-ECSA	EPI_ISL_18044930	2023-03-01	South America	Paraguay	unknown	unknown
hChikV/Paraguay/un-L2-70/2023|EPI_ISL_18044932	unknown	hChikV	II-ECSA	EPI_ISL_18044932	2023-02-24	South America	Paraguay	San Pedro Department	San Pedro de Ycuamandiyu
hChikV/Paraguay/un-L2-71/2023|EPI_ISL_18044933	unknown	hChikV	II-ECSA	EPI_ISL_18044933	2023-02-23	South America	Paraguay	San Pedro Department	San Pedro de Ycuamandiyu
hChikV/Paraguay/un-L2-72/2023|EPI_ISL_18044934	unknown	hChikV	II-ECSA	EPI_ISL_18044934	2023-03-01	South America	Paraguay	San Pedro Department	unknown
hChikV/Paraguay/un-L2-73/2023|EPI_ISL_18044935	unknown	hChikV	II-ECSA	EPI_ISL_18044935	2023-02-22	South America	Paraguay	Caaguazu	Caaguazu
hChikV/Paraguay/un-L2-74/2023|EPI_ISL_18044936	unknown	hChikV	II-ECSA	EPI_ISL_18044936	2023-03-04	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-L2-75/2023|EPI_ISL_18044937	unknown	hChikV	II-ECSA	EPI_ISL_18044937	2023-03-06	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-76/2023|EPI_ISL_18044938	unknown	hChikV	II-ECSA	EPI_ISL_18044938	2023-03-05	South America	Paraguay	unknown	unknown
hChikV/Paraguay/un-L2-77/2023|EPI_ISL_18044939	unknown	hChikV	II-ECSA	EPI_ISL_18044939	2023-01-05	South America	Paraguay	Central Department	Lambare
hChikV/Paraguay/un-L2-78/2023|EPI_ISL_18044940	unknown	hChikV	II-ECSA	EPI_ISL_18044940	2023-01-20	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-L2-79/2023|EPI_ISL_18044941	unknown	hChikV	II-ECSA	EPI_ISL_18044941	2023-01-23	South America	Paraguay	Central Department	Guarambare
hChikV/Paraguay/un-L2-80/2023|EPI_ISL_18044942	unknown	hChikV	II-ECSA	EPI_ISL_18044942	2023-01-26	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-L2-81/2023|EPI_ISL_18044943	unknown	hChikV	II-ECSA	EPI_ISL_18044943	2023-01-26	South America	Paraguay	Central Department	unknown
hChikV/Paraguay/un-L2-82/2023|EPI_ISL_18044944	unknown	hChikV	II-ECSA	EPI_ISL_18044944	2023-01-26	South America	Paraguay	Central Department	Nemby
hChikV/Paraguay/un-L2-83/2023|EPI_ISL_18044945	unknown	hChikV	II-ECSA	EPI_ISL_18044945	2023-02-07	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-L2-84/2023|EPI_ISL_18044946	unknown	hChikV	II-ECSA	EPI_ISL_18044946	2023-02-09	South America	Paraguay	Central Department	Fernando de la Mora
hChikV/Paraguay/un-L2-85/2023|EPI_ISL_18044947	unknown	hChikV	II-ECSA	EPI_ISL_18044947	2023-02-11	South America	Paraguay	Central Department	Itaugua
hChikV/Paraguay/un-L2-86/2023|EPI_ISL_18044948	unknown	hChikV	II-ECSA	EPI_ISL_18044948	2023-02-22	South America	Paraguay	Central Department	Nemby
hChikV/Paraguay/un-89/2022|EPI_ISL_18064578	unknown	hChikV	II-ECSA	EPI_ISL_18064578	2022-04-23	South America	Paraguay	unknown	unknown
hChikV/Paraguay/un-95/2022|EPI_ISL_18064579	unknown	hChikV	II-ECSA	EPI_ISL_18064579	2022-07-28	South America	Paraguay	unknown	unknown
hChikV/Paraguay/un-90/2022|EPI_ISL_18064580	unknown	hChikV	II-ECSA	EPI_ISL_18064580	2022-04-24	South America	Paraguay	Asuncion	unknown
hChikV/Paraguay/un-93/2022|EPI_ISL_18064581	unknown	hChikV	II-ECSA	EPI_ISL_18064581	2022-04-28	South America	Paraguay	Presidente Hayes Department	unknown
hChikV/Paraguay/un-94/2022|EPI_ISL_18064582	unknown	hChikV	II-ECSA	EPI_ISL_18064582	2022-07-28	South America	Paraguay	unknown	unknown
hChikV/Paraguay/un-92/2022|EPI_ISL_18064583	unknown	hChikV	II-ECSA	EPI_ISL_18064583	2022-04-27	South America	Paraguay	unknown	unknown
hChikV/Paraguay/un-91/2022|EPI_ISL_18064584	unknown	hChikV	II-ECSA	EPI_ISL_18064584	2022-04-23	South America	Paraguay	Asuncion	unknown
hChikV/Brazil/RJ-IAL-331237499/2023|EPI_ISL_18095507	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095507	2023-06-08	South America	Brazil	Rio de Janeiro	Angra dos Reis
hChikV/Brazil/RJ-IAL-331229850/2023|EPI_ISL_18095508	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095508	2023-06-05	South America	Brazil	Rio de Janeiro	Volta Redonda
hChikV/Brazil/RJ-IAL-331226723/2023|EPI_ISL_18095509	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095509	2023-05-31	South America	Brazil	Rio de Janeiro	Rio de Janeiro
hChikV/Brazil/RJ-IAL-331236167/2023|EPI_ISL_18095510	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095510	2023-06-12	South America	Brazil	Rio de Janeiro	Armacao dos Buzios
hChikV/Brazil/RJ-IAL-331237064/2023|EPI_ISL_18095511	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095511	2023-06-13	South America	Brazil	Rio de Janeiro	Belford Roxo
hChikV/Brazil/RJ-IAL-331262160/2023|EPI_ISL_18095512	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095512	2023-07-07	South America	Brazil	Rio de Janeiro	Cabo Frio
hChikV/Brazil/RJ-IAL-331270397/2023|EPI_ISL_18095513	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095513	2023-07-16	South America	Brazil	Rio de Janeiro	Sao Goncalo
hChikV/Brazil/RJ-IAL-331252739/2023|EPI_ISL_18095514	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095514	2023-06-27	South America	Brazil	Rio de Janeiro	Rio de Janeiro
hChikV/Brazil/RJ-IAL-331256700/2023|EPI_ISL_18095515	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095515	2023-07-03	South America	Brazil	Rio de Janeiro	Rio de Janeiro
hChikV/Brazil/RJ-IAL-331259274/2023|EPI_ISL_18095516	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095516	2023-07-03	South America	Brazil	Rio de Janeiro	Rio de Janeiro
hChikV/Brazil/RJ-IAL-331202153/2023|EPI_ISL_18095517	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095517	2023-05-09	South America	Brazil	Rio de Janeiro	Volta Redonda
hChikV/Brazil/RJ-IAL-331204763/2023|EPI_ISL_18095518	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095518	2023-05-06	South America	Brazil	Rio de Janeiro	Rio de Janeiro
hChikV/Brazil/RJ-IAL-331208835/2023|EPI_ISL_18095519	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095519	2023-05-13	South America	Brazil	Rio de Janeiro	Cabo Frio
hChikV/Brazil/RJ-IAL-331207818/2023|EPI_ISL_18095520	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095520	2023-05-12	South America	Brazil	Rio de Janeiro	Rio de Janeiro
hChikV/Brazil/RJ-IAL-331220989/2023|EPI_ISL_18095521	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095521	2023-05-25	South America	Brazil	Rio de Janeiro	Volta Redonda
hChikV/Brazil/TO-IAL-170548123/2023|EPI_ISL_18095522	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095522	2023-03-20	South America	Brazil	Tocantins	Divinopolis do Tocantins
hChikV/Brazil/TO-IAL-170548132/2023|EPI_ISL_18095523	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095523	2023-03-20	South America	Brazil	Tocantins	Divinopolis do Tocantins
hChikV/Brazil/TO-IAL-170547730/2023|EPI_ISL_18095524	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095524	2023-03-17	South America	Brazil	Tocantins	Paraiso do Tocantins
hChikV/Brazil/TO-IAL-170548222/2023|EPI_ISL_18095525	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_18095525	2023-03-21	South America	Brazil	Tocantins	Paraiso do Tocantins
